instance,from,nb_toots,n,p,nb_toots_total,paverage,logratio
cryptotooter.com,bitcoinhackers.org,95,438,0.21689497716894976,3480,0.005710122669186996,3.6371727535489344
mstdn.jenniferking.me,fosstodon.org,70,323,0.21671826625386997,15642,0.025666016894087068,2.1334303807585053
mastodon.txmrl.net,mamot.fr,96,443,0.21670428893905191,16099,0.02641588070437973,2.104568329273766
cztwitter.cz,cztwitter.cz,68,314,0.21656050955414013,327,5.365546301218816e-4,6.0004568934639595
mastodon.end.io,fosstodon.org,71,328,0.21646341463414634,15642,0.025666016894087068,2.1322537305889746
baraag.net,pawoo.net,50,231,0.21645021645021645,2241,0.0036771220981747297,4.075230166198785
mastodon.desmu.fr,mastodon.art,74,342,0.21637426900584794,18951,0.031095555949357118,1.9399447216681143
algufr.com,framapiaf.org,80,370,0.21621621621621623,7801,0.012800191650094184,2.826818764540658
mastodon.partipirate.org,mamot.fr,56,259,0.21621621621621623,16099,0.02641588070437973,2.102313536886677
social.piweb.be,mamot.fr,73,338,0.21597633136094674,16099,0.02641588070437973,2.1012034535164377
pouet.me,mamot.fr,84,389,0.2159383033419023,16099,0.02641588070437973,2.1010273630759326
mastodon.muage.org,framapiaf.org,49,227,0.21585903083700442,7801,0.012800191650094184,2.8251654161342707
wybt.net,infosec.exchange,71,329,0.21580547112462006,20335,0.03336647829825218,1.8668256530279783
social.tinytip.de,kafeneio.social,77,357,0.21568627450980393,1304,0.0021396551610976563,4.613180242680806
freifunk.social,social.platypush.tech,69,320,0.215625,1308,0.0021462185204875264,4.609833321879703
lile.cl,lile.cl,58,269,0.21561338289962825,239,3.9216072354473916e-4,6.309570424106429
eocene.epochal.quest,respublicae.eu,88,409,0.21515892420537897,4140,0.006793076968515565,3.4554729367094046
thesnakepostoffice.online,mastodon.art,43,200,0.215,18951,0.031095555949357118,1.9335731146720754
podcasts.social,chaos.social,72,335,0.21492537313432836,19443,0.031902849154311144,1.907595545188523
friendica.kommune4.de,friendica.mrpetovan.com,60,280,0.21428571428571427,404,6.628992983768813e-4,5.778442426185061
6t.vc,universeodon.com,76,355,0.2140845070422535,8816,0.014465644095273724,2.6945943645115795
mastodon.technology,botsin.space,44,206,0.21359223300970873,12782,0.02097321493032994,2.320822600011813
skyjake.fi,mastodon.gamedev.place,60,281,0.21352313167259787,5622,0.00922480162246244,3.1418494865152375
mastodon.open-net.nl,hachyderm.io,70,328,0.21341463414634146,6200,0.010173207054298672,3.043479407725392
theolddude.masto.host,freeradical.zone,70,328,0.21341463414634146,2613,0.00428751452143265,3.9075297132379627
hespere.de,chaos.social,71,333,0.2132132132132132,19443,0.031902849154311144,1.8995973450584056
skj.ca,wxw.moe,81,380,0.2131578947368421,3276,0.005375391340303621,3.680201802072407
boles.social,merveilles.town,63,296,0.21283783783783783,3135,0.0051440329218107,3.722693164093811
friendicarg.nsupdate.info,mastodon.la,50,235,0.2127659574468085,1049,0.0017212409999934365,4.817147227981049
mastodon.fulltermprivacy.com,kafeneio.social,75,353,0.21246458923512748,1304,0.0021396551610976563,4.598130659209775
moessingen.social,chaos.social,75,353,0.21246458923512748,19443,0.031902849154311144,1.8960800146005476
mainburg.hallertau.social,chaos.social,62,292,0.21232876712328766,19443,0.031902849154311144,1.8954405407743438
mastodon.lhin.space,fosstodon.org,69,325,0.2123076923076923,15642,0.025666016894087068,2.1128687841993252
social.dekloo.net,mamot.fr,73,345,0.21159420289855072,16099,0.02641588070437973,2.080704931968097
mastodon.home.inndy.tw,mastodon.coffee,22,104,0.21153846153846154,2952,0.004843759229724142,3.77671571358994
social.servus.at,chaos.social,72,341,0.21114369501466276,19443,0.031902849154311144,1.8898435997300727
mastodon.triggerphra.se,mastodon.art,50,237,0.2109704641350211,18951,0.031095555949357118,1.9146532298195647
my-spaces.social,journa.host,70,332,0.21084337349397592,8952,0.014688798314529308,2.664030368234469
social.spamourai.fr,mamot.fr,78,370,0.21081081081081082,16099,0.02641588070437973,2.076995728902387
status.p1ng0ut.social,squeet.me,82,389,0.21079691516709512,7154,0.011738568268782694,2.8880153289202037
social.skewed.de,respublicae.eu,67,318,0.21069182389937108,4140,0.006793076968515565,3.434492514884789
forum.friendi.ca,squeet.me,20,95,0.21052631578947367,7154,0.011738568268782694,2.886730807227847
karlsruhe.social,chaos.social,76,361,0.21052631578947367,19443,0.031902849154311144,1.8869153399509841
scalie.club,botsin.space,28,133,0.21052631578947367,12782,0.02097321493032994,2.306364516836583
mastodon.mariobreskic.de,vis.social,81,385,0.21038961038961038,1360,0.0022315421925558376,4.546268186747916
social.eyluldogruel.com,mastodon.art,65,309,0.21035598705501618,18951,0.031095555949357118,1.9117363585244413
colorid.es,colorid.es,82,390,0.21025641025641026,298,4.889702745453232e-4,6.0637813667285165
obo.sh,mstdn.jp,58,276,0.21014492753623187,5508,0.009037745879851143,3.1463876300740834
loutre.info,mastodon.art,35,167,0.20958083832335328,18951,0.031095555949357118,1.9080446145992083
megalodon.social,mas.to,75,358,0.20949720670391062,13146,0.02157048063480812,2.2733846634054484
friendica.mifritscher.de,friendica.mifritscher.de,40,191,0.2094240837696335,40,6.56335938987011e-5,8.06802891704673
hub.uckermark.social,chaos.social,81,387,0.20930232558139536,19443,0.031902849154311144,1.881084419640191
alpaka.social,chaos.social,77,368,0.20923913043478262,19443,0.031902849154311144,1.8807824416822871
social.nikos410.de,chaos.social,73,349,0.20916905444126074,19443,0.031902849154311144,1.880447476943498
social.mei-home.net,fosstodon.org,65,311,0.2090032154340836,15642,0.025666016894087068,2.097181819648206
social.rousselie.name,framapiaf.org,79,378,0.20899470899470898,7801,0.012800191650094184,2.7928487923524803
socialfed.nl,mastodon.com.tr,84,402,0.208955223880597,1956,0.0032094827416464843,4.17601020472289
together.chaoyu.us,fedibird.com,42,201,0.208955223880597,6471,0.010617874652962373,2.979581120260386
mastodon.electric-goat.net,dice.camp,72,345,0.20869565217391303,1645,0.002699181549084083,4.347928383878583
spondr.cz,cztwitter.cz,72,345,0.20869565217391303,327,5.365546301218816e-4,5.963463876180802
mthie.net,chaos.social,73,350,0.20857142857142857,19443,0.031902849154311144,1.8775862446624658
heidel.berg.social,chaos.social,78,374,0.20855614973262032,19443,0.031902849154311144,1.877512987272594
social.oupsman.fr,mamot.fr,70,336,0.20833333333333334,16099,0.02641588070437973,2.0651739899372203
fedi.nemo.town,piaille.fr,46,221,0.2081447963800905,5742,0.009421702404158544,3.095218179383693
isosceles.love,elekk.xyz,33,159,0.20754716981132076,1185,0.0019443952192490204,4.670407650770377
m.kretschmann.social,squeet.me,84,405,0.2074074074074074,7154,0.011738568268782694,2.8718051570111713
pouet.couchet.org,framapiaf.org,75,362,0.20718232044198895,7801,0.012800191650094184,2.7841390372155863
dashuo.org,mastodon.com.tr,35,169,0.20710059171597633,1956,0.0032094827416464843,4.167094841064937
greenplenty.social,toot.wales,60,290,0.20689655172413793,3328,0.005460715012371932,3.6346391823938418
mastodon.chatinbit.com,9kb.me,18,87,0.20689655172413793,716,0.0011748413307867498,5.171085817374295
social.synergetic-design.com,fosstodon.org,57,276,0.20652173913043478,15642,0.025666016894087068,2.085237864049203
social.exclaimindustries.net,wandering.shop,70,339,0.20648967551622419,4169,0.006840661324092123,3.4073660018814715
fem.social,chaos.social,64,310,0.2064516129032258,19443,0.031902849154311144,1.867370743878014
indiepocalypse.social,universeodon.com,40,194,0.20618556701030927,8816,0.014465644095273724,2.657000108751272
andrews.me,hachyderm.io,68,330,0.20606060606060606,6200,0.010173207054298672,3.0084128247757578
mastadon.littlebonsai.co.uk,respublicae.eu,55,267,0.20599250936329588,4140,0.006793076968515565,3.411935805106221
bne.social,aus.social,72,350,0.2057142857142857,5133,0.00842243093705082,3.1955897470656525
a.sc,respublicae.eu,58,282,0.20567375886524822,4140,0.006793076968515565,3.4103872178823056
monocles.social,squeet.me,80,389,0.20565552699228792,7154,0.011738568268782694,2.863322716329832
mammouth.mulot.org,mamot.fr,73,355,0.2056338028169014,16099,0.02641588070437973,2.0521315595240406
